Sentiment,review,Predicted_Sentiment,Confidence_score
Awe,awe,Neutral,0.5
Awe,awe,Neutral,0.5
Awe,awe,Neutral,0.5
Euphoria,euphoria,Neutral,0.5
Euphoria,euphoria,Neutral,0.5
Exploration,exploration,Neutral,0.5
Gratitude,gratitude,Neutral,0.5
Gratitude,gratitude,Neutral,0.5
Serenity,serenity,Neutral,0.5
Grandeur,grandeur,Neutral,0.5
Admiration,admiration,Neutral,0.5
Awe,awe,Neutral,0.5
Connection,connection,Neutral,0.5
Inspiration,inspiration,Neutral,0.5
Inspiration,inspiration,Neutral,0.5
Awe,awe,Neutral,0.5
Hypnotic,hypnotic,Neutral,0.5
Amazement,amazement,Neutral,0.5
Journey,journey,Neutral,0.5
Harmony,harmony,Neutral,0.5
Adventure,adventure,Neutral,0.5
Harmony,harmony,Neutral,0.5
CulinaryOdyssey,culinaryodyssey,Neutral,0.5
Culinary Adventure,culinary adventure,Neutral,0.5
Disgust,disgust,Neutral,0.5
Positive,positive,Neutral,0.5
Indifference,indifference,Neutral,0.5
Loneliness,loneliness,Neutral,0.5
Anxiety,anxiety,Neutral,0.5
Confusion,confusion,Neutral,0.5
Numbness,numbness,Neutral,0.5
Positive,positive,Neutral,0.5
Positive,positive,Neutral,0.5
Anxiety,anxiety,Neutral,0.5
Regret,regret,Neutral,0.5
Frustration,frustration,Neutral,0.5
Ambivalence,ambivalence,Neutral,0.5
Bitterness,bitterness,Neutral,0.5
Melancholy,melancholy,Neutral,0.5
Fearful,fearful,Neutral,0.5
Ambivalence,ambivalence,Neutral,0.5
Hopeful,hopeful,Neutral,0.5
Inspired,inspired,Neutral,0.5
Hopeful,hopeful,Neutral,0.5
Inspired,inspired,Neutral,0.5
Apprehensive,apprehensive,Neutral,0.5
Dismissive,dismissive,Neutral,0.5
Frustrated,frustrated,Neutral,0.5
Hate,hate,Negative,1.0
Positive,positive,Neutral,0.5
Positive,positive,Neutral,0.5
Calmness,calmness,Neutral,0.5
Shame,shame,Neutral,0.5
Empowerment,empowerment,Neutral,0.5
Euphoria,euphoria,Neutral,0.5
Empowerment,empowerment,Neutral,0.5
Loneliness,loneliness,Neutral,0.5
Acceptance,acceptance,Neutral,0.5
Confusion,confusion,Neutral,0.5
Empathetic,empathetic,Neutral,0.5
Inspired,inspired,Neutral,0.5
Bitterness,bitterness,Neutral,0.5
Jealous,jealous,Neutral,0.5
Positive,positive,Neutral,0.5
Positive,positive,Neutral,0.5
Disgust,disgust,Neutral,0.5
Amusement,amusement,Neutral,0.5
Disgust,disgust,Neutral,0.5
Amusement,amusement,Neutral,0.5
Serenity,serenity,Neutral,0.5
Reverence,reverence,Neutral,0.5
Reverence,reverence,Neutral,0.5
Hope,hope,Neutral,0.5
Blessed,blessed,Neutral,0.5
Surprise,surprise,Neutral,0.5
Melancholy,melancholy,Neutral,0.5
Regret,regret,Neutral,0.5
Serenity,serenity,Neutral,0.5
Harmony,harmony,Neutral,0.5
Excitement,excitement,Neutral,0.5
Contentment,contentment,Neutral,0.5
Joy,joy,Neutral,0.5
Joy,joy,Neutral,0.5
Curiosity,curiosity,Neutral,0.5
Excitement,excitement,Neutral,0.5
Bad,bad,Negative,1.0
Sad,sad,Negative,1.0
Neutral,neutral,Neutral,0.5
Positive,positive,Neutral,0.5
Arousal,arousal,Neutral,0.5
Determination,determination,Neutral,0.5
Determination,determination,Neutral,0.5
Immersion,immersion,Neutral,0.5
Desolation,desolation,Neutral,0.5
Excitement,excitement,Neutral,0.5
Bad,bad,Negative,1.0
Sad,sad,Negative,1.0
Neutral,neutral,Neutral,0.5
Happy,happy,Positive,1.0
Sad,sad,Negative,1.0
Happy,happy,Positive,1.0
Happy,happy,Positive,1.0
Positive,positive,Neutral,0.5
Positive,positive,Neutral,0.5
Adoration,adoration,Neutral,0.5
Adoration,adoration,Neutral,0.5
Serenity,serenity,Neutral,0.5
Curiosity,curiosity,Neutral,0.5
Free-spirited,freespirited,Neutral,0.5
Free-spirited,freespirited,Neutral,0.5
Nostalgia,nostalgia,Neutral,0.5
Grief,grief,Neutral,0.5
Loneliness,loneliness,Neutral,0.5
Nostalgia,nostalgia,Neutral,0.5
Thrilling Journey,thrilling journey,Neutral,0.5
Joy,joy,Neutral,0.5
Joy,joy,Neutral,0.5
Joy,joy,Neutral,0.5
Gratitude,gratitude,Neutral,0.5
Embarrassed,embarrassed,Neutral,0.5
Embarrassed,embarrassed,Neutral,0.5
Embarrassed,embarrassed,Neutral,0.5
Joy,joy,Neutral,0.5
Neutral,neutral,Neutral,0.5
Happy,happy,Positive,1.0
Excitement,excitement,Neutral,0.5
Excitement,excitement,Neutral,0.5
Hate,hate,Negative,1.0
Excitement,excitement,Neutral,0.5
Confusion,confusion,Neutral,0.5
Confusion,confusion,Neutral,0.5
Tenderness,tenderness,Neutral,0.5
Tenderness,tenderness,Neutral,0.5
Tenderness,tenderness,Neutral,0.5
Elation,elation,Neutral,0.5
Contentment,contentment,Neutral,0.5
Excitement,excitement,Neutral,0.5
Neutral,neutral,Neutral,0.5
Happy,happy,Positive,1.0
Contemplation,contemplation,Neutral,0.5
Appreciation,appreciation,Neutral,0.5
Pride,pride,Neutral,0.5
Elegance,elegance,Neutral,0.5
Dazzle,dazzle,Neutral,0.5
Captivation,captivation,Neutral,0.5
Satisfaction,satisfaction,Neutral,0.5
Frustration,frustration,Neutral,0.5
Gratitude,gratitude,Neutral,0.5
Contentment,contentment,Neutral,0.5
Contentment,contentment,Neutral,0.5
Gratitude,gratitude,Neutral,0.5
Excitement,excitement,Neutral,0.5
Joy,joy,Neutral,0.5
Happiness,happiness,Neutral,0.5
Pride,pride,Neutral,0.5
Inspiration,inspiration,Neutral,0.5
Excitement,excitement,Neutral,0.5
Hope,hope,Neutral,0.5
Emotion,emotion,Neutral,0.5
Reflection,reflection,Neutral,0.5
Joy,joy,Neutral,0.5
Curiosity,curiosity,Neutral,0.5
Curiosity,curiosity,Neutral,0.5
Nostalgia,nostalgia,Neutral,0.5
Excitement,excitement,Neutral,0.5
Joy,joy,Neutral,0.5
Excitement,excitement,Neutral,0.5
Despair,despair,Neutral,0.5
Negative,negative,Neutral,0.5
Jealousy,jealousy,Neutral,0.5
Frustration,frustration,Neutral,0.5
Despair,despair,Neutral,0.5
Nostalgia,nostalgia,Neutral,0.5
Numbness,numbness,Neutral,0.5
Frustration,frustration,Neutral,0.5
Regret,regret,Neutral,0.5
Nostalgia,nostalgia,Neutral,0.5
Hopeful,hopeful,Neutral,0.5
Melancholy,melancholy,Neutral,0.5
Positive,positive,Neutral,0.5
Positive,positive,Neutral,0.5
Positive,positive,Neutral,0.5
Positive,positive,Neutral,0.5
Fear,fear,Neutral,0.5
Affection,affection,Neutral,0.5
Fear,fear,Neutral,0.5
Affection,affection,Neutral,0.5
Euphoria,euphoria,Neutral,0.5
Enthusiasm,enthusiasm,Neutral,0.5
Euphoria,euphoria,Neutral,0.5
Enthusiasm,enthusiasm,Neutral,0.5
Euphoria,euphoria,Neutral,0.5
